regulator,regulator site,interaction,target,target site,Time,Type,Pearson,Spearman,Weight
AT1G07050,,regulates,AT1G22890,,8hr,TF-Abundance,,,0.813526955
AT1G07050,,regulates,AT1G30870,,8hr,TF-Abundance,,,0.556523538
AT1G07050,,regulates,AT1G51700,,8hr,TF-Abundance,,,0.6368383
AT1G07050,,regulates,AT1G78020,,8hr,TF-Abundance,,,0.584215779
AT1G07050,,regulates,AT1G78380,,8hr,TF-Abundance,,,0.779545185
AT1G07050,,regulates,AT2G02120,,8hr,TF-Abundance,,,0.82087606
AT1G07050,,regulates,AT2G16650,,8hr,TF-Abundance,,,0.783844104
AT1G07050,,regulates,AT2G26010,,8hr,TF-Abundance,,,0.544095925
AT1G07050,,regulates,AT2G30620,,8hr,TF-Abundance,,,0.649089443
AT1G07050,,regulates,AT2G31370,,8hr,TF-Abundance,,,0.563203152
AT1G07050,,regulates,AT2G31810,,8hr,TF-Abundance,,,0.873388995
AT1G07050,,regulates,AT2G34140,,8hr,TF-Abundance,,,0.694866092
AT1G07050,,regulates,AT2G34590,,8hr,TF-Abundance,,,0.567049934
AT1G07050,,regulates,AT2G36270,,8hr,TF-Abundance,,,0.645967276
AT1G07050,,regulates,AT2G38040,,8hr,TF-Abundance,,,0.861100707
AT1G07050,,regulates,AT2G40410,,8hr,TF-Abundance,,,0.701795928
AT1G07050,,regulates,AT2G41700,,8hr,TF-Abundance,,,0.816959454
AT1G07050,,regulates,AT2G46550,,8hr,TF-Abundance,,,0.597659854
AT1G07050,,regulates,AT3G12490,,8hr,TF-Abundance,,,0.829974506
AT1G07050,,regulates,AT3G13040,,8hr,TF-Abundance,,,0.850181937
AT1G07050,,regulates,AT3G25690,,8hr,TF-Abundance,,,0.627899721
AT1G07050,,regulates,AT3G46640,,8hr,TF-Abundance,,,0.726769581
AT1G07050,,regulates,AT3G48000,,8hr,TF-Abundance,,,0.583903322
AT1G07050,,regulates,AT3G50210,,8hr,TF-Abundance,,,0.720392679
AT1G07050,,regulates,AT3G52460,,8hr,TF-Abundance,,,0.636638891
AT1G07050,,regulates,AT3G53460,,8hr,TF-Abundance,,,0.935702424
AT1G07050,,regulates,AT3G63160,,8hr,TF-Abundance,,,0.881350986
AT1G07050,,regulates,AT4G02370,,8hr,TF-Abundance,,,0.911263547
AT1G07050,,regulates,AT4G04620,,8hr,TF-Abundance,,,0.658594398
AT1G07050,,regulates,AT4G07820,,8hr,TF-Abundance,,,0.731723672
AT1G07050,,regulates,AT4G15390,,8hr,TF-Abundance,,,0.569757121
AT1G07050,,regulates,AT4G16190,,8hr,TF-Abundance,,,0.87533863
AT1G07050,,regulates,AT4G30500,,8hr,TF-Abundance,,,0.646005128
AT1G07050,,regulates,AT5G08410,,8hr,TF-Abundance,,,0.688752491
AT1G07050,,regulates,AT5G11280,,8hr,TF-Abundance,,,0.580129316
AT1G07050,,regulates,AT5G11500,,8hr,TF-Abundance,,,0.55180491
AT1G07050,,regulates,AT5G14110,,8hr,TF-Abundance,,,0.78105763
AT1G07050,,regulates,AT5G16660,,8hr,TF-Abundance,,,0.782660304
AT1G07050,,regulates,AT5G20630,,8hr,TF-Abundance,,,0.856457301
AT1G07050,,regulates,AT5G39410,,8hr,TF-Abundance,,,0.864008313
AT1G07050,,regulates,AT5G39760,,8hr,TF-Abundance,,,1
AT1G07050,,regulates,AT5G46960,,8hr,TF-Abundance,,,0.673736189
AT1G07050,,regulates,AT5G55850,,8hr,TF-Abundance,,,0.675136842
AT1G07050,,regulates,AT5G59440,,8hr,TF-Abundance,,,0.566265844
AT1G07050,,regulates,AT5G61160,,8hr,TF-Abundance,,,0.612925621
AT1G07050,,regulates,AT5G61520,,8hr,TF-Abundance,,,0.643282264
AT1G07050,,regulates,AT5G62680,,8hr,TF-Abundance,,,0.578959127
AT1G07050,,regulates,AT5G62880,,8hr,TF-Abundance,,,0.567837669
AT1G13300,,regulates,AT1G50050,,8hr,TF-Abundance,,,0.6310724
AT1G13300,,regulates,AT1G63180,,8hr,TF-Abundance,,,0.875528588
AT1G13300,,regulates,AT2G02060,,8hr,TF-Abundance,,,0.687195774
AT1G13300,,regulates,AT2G32270,,8hr,TF-Abundance,,,0.746745249
AT1G13300,,regulates,AT4G19860,,8hr,TF-Abundance,,,0.64551527
AT1G13300,,regulates,AT5G14470,,8hr,TF-Abundance,,,0.634495891
AT1G14030,,regulates,AT1G06520,,8hr,TF-Abundance,,,0.621845829
AT1G14030,,regulates,AT1G68585,,8hr,TF-Abundance,,,0.90567157
AT1G14030,,regulates,AT3G03750,,8hr,TF-Abundance,,,0.557218058
AT1G14030,,regulates,AT3G13040,,8hr,TF-Abundance,,,0.61291842
AT1G14030,,regulates,AT3G19553,,8hr,TF-Abundance,,,0.763941115
AT1G14030,,regulates,AT4G18710,,8hr,TF-Abundance,,,0.546580064
AT1G14030,,regulates,AT5G44860,,8hr,TF-Abundance,,,0.584555301
AT1G14580,,regulates,AT1G21050,,8hr,TF-Abundance,,,0.732719743
AT1G14580,,regulates,AT1G52190,,8hr,TF-Abundance,,,0.710293905
AT1G14580,,regulates,AT2G05790,,8hr,TF-Abundance,,,0.755386352
AT1G14580,,regulates,AT3G25717,,8hr,TF-Abundance,,,0.72389415
AT1G14580,,regulates,AT3G49110,,8hr,TF-Abundance,,,0.756164653
AT1G14580,,regulates,AT4G22217,,8hr,TF-Abundance,,,0.843264974
AT1G14580,,regulates,AT4G27260,,8hr,TF-Abundance,,,0.784469794
AT1G15720,,regulates,AT1G08643,,8hr,TF-Abundance,,,0.625412179
AT1G15720,,regulates,AT1G22690,,8hr,TF-Abundance,,,0.624536236
AT1G15720,,regulates,AT1G34418,,8hr,TF-Abundance,,,0.686358517
AT1G15720,,regulates,AT2G17705,,8hr,TF-Abundance,,,0.725655883
AT1G15720,,regulates,AT2G33990,,8hr,TF-Abundance,,,0.785901497
AT1G15720,,regulates,AT2G36670,,8hr,TF-Abundance,,,0.642670138
AT1G15720,,regulates,AT2G38800,,8hr,TF-Abundance,,,0.630429269
AT1G15720,,regulates,AT3G03330,,8hr,TF-Abundance,,,0.645437532
AT1G15720,,regulates,AT3G05335,,8hr,TF-Abundance,,,0.720366231
AT1G15720,,regulates,AT3G11690,,8hr,TF-Abundance,,,0.67079892
AT1G15720,,regulates,AT3G22750,,8hr,TF-Abundance,,,0.704923555
AT1G15720,,regulates,AT3G27340,,8hr,TF-Abundance,,,0.640269103
AT1G15720,,regulates,AT3G28690,,8hr,TF-Abundance,,,0.661009656
AT1G15720,,regulates,AT3G52560,,8hr,TF-Abundance,,,0.741639462
AT1G15720,,regulates,AT3G53580,,8hr,TF-Abundance,,,0.678615842
AT1G15720,,regulates,AT4G01880,,8hr,TF-Abundance,,,0.670431792
AT1G15720,,regulates,AT4G14160,,8hr,TF-Abundance,,,0.699177733
AT1G15720,,regulates,AT4G16490,,8hr,TF-Abundance,,,0.708414042
AT1G15720,,regulates,AT5G03500,,8hr,TF-Abundance,,,0.655406622
AT1G15720,,regulates,AT5G05930,,8hr,TF-Abundance,,,0.650300894
AT1G15720,,regulates,AT5G26200,,8hr,TF-Abundance,,,0.671721142
AT1G15720,,regulates,AT5G59800,,8hr,TF-Abundance,,,0.676820804
AT1G15720,,regulates,AT5G64200,,8hr,TF-Abundance,,,0.76593501
AT1G18400,,regulates,AT1G04240,,8hr,TF-Abundance,,,0.803846791
AT1G18400,,regulates,AT1G17620,,8hr,TF-Abundance,,,0.834897278
AT1G18400,,regulates,AT1G67470,,8hr,TF-Abundance,,,0.834644598
AT1G18400,,regulates,AT1G70230,,8hr,TF-Abundance,,,0.797033736
AT1G18400,,regulates,AT1G70990,,8hr,TF-Abundance,,,0.847722898
AT1G18400,,regulates,AT2G04030,,8hr,TF-Abundance,,,0.841230494
AT1G18400,,regulates,AT2G13820,,8hr,TF-Abundance,,,0.786834961
AT1G18400,,regulates,AT2G44290,,8hr,TF-Abundance,,,0.794169804
AT1G18400,,regulates,AT3G13320,,8hr,TF-Abundance,,,0.792958719
AT1G18400,,regulates,AT3G15540,,8hr,TF-Abundance,,,0.794052876
