GeneID,dataset
AT1G26730,GTL1_targets
AT1G26800,GTL1_targets
AT1G26830,GTL1_targets
AT1G26900,GTL1_targets
AT1G26920,GTL1_targets
AT1G26930,GTL1_targets
AT1G26960,GTL1_targets
AT1G26970,GTL1_targets
AT1G27090,GTL1_targets
AT1G27100,GTL1_targets
AT1G27120,GTL1_targets
AT1G27190,GTL1_targets
AT1G27200,GTL1_targets
AT1G27210,GTL1_targets
AT1G27220,GTL1_targets
AT1G27290,GTL1_targets
AT1G27300,GTL1_targets
AT1G27320,GTL1_targets
AT1G27330,GTL1_targets
AT1G27340,GTL1_targets
AT1G27370,GTL1_targets
AT1G27480,GTL1_targets
AT1G27620,GTL1_targets
AT1G27640,GTL1_targets
AT1G27680,GTL1_targets
AT1G27720,GTL1_targets
AT1G27740,GTL1_targets
AT1G27760,GTL1_targets
AT1G27850,GTL1_targets
AT1G27920,GTL1_targets
AT1G27930,GTL1_targets
AT1G27950,GTL1_targets
AT1G27970,GTL1_targets
AT1G27980,GTL1_targets
AT1G28060,GTL1_targets
AT1G28130,GTL1_targets
AT1G28135,GTL1_targets
AT1G28230,GTL1_targets
AT1G28250,GTL1_targets
AT1G28270,GTL1_targets
AT1G28280,GTL1_targets
AT1G28335,GTL1_targets
AT1G28340,GTL1_targets
AT1G28375,GTL1_targets
AT1G28380,GTL1_targets
AT1G28390,GTL1_targets
AT1G28450,GTL1_targets
AT1G28490,GTL1_targets
AT1G28570,GTL1_targets
AT1G28680,GTL1_targets
AT1G28790,GTL1_targets
AT1G28930,GTL1_targets
AT1G29050,GTL1_targets
AT1G29060,GTL1_targets
AT1G29160,GTL1_targets
AT1G29195,GTL1_targets
AT1G29230,GTL1_targets
AT1G29280,GTL1_targets
AT1G29290,GTL1_targets
AT1G29300,GTL1_targets
AT1G29340,GTL1_targets
AT1G29400,GTL1_targets
AT1G29670,GTL1_targets
AT1G29760,GTL1_targets
AT1G29860,GTL1_targets
AT1G29900,GTL1_targets
AT1G29930,GTL1_targets
AT1G29965,GTL1_targets
AT1G30040,GTL1_targets
AT1G30090,GTL1_targets
AT1G30110,GTL1_targets
AT1G30130,GTL1_targets
AT1G30120,GTL1_targets
AT1G30190,GTL1_targets
AT1G30200,GTL1_targets
AT1G30270,GTL1_targets
AT1G30280,GTL1_targets
AT1G30300,GTL1_targets
AT1G30320,GTL1_targets
AT1G30330,GTL1_targets
AT1G30360,GTL1_targets
AT1G30380,GTL1_targets
AT1G30440,GTL1_targets
AT1G30500,GTL1_targets
AT1G30570,GTL1_targets
AT1G30580,GTL1_targets
AT1G30590,GTL1_targets
AT1G30620,GTL1_targets
AT1G30640,GTL1_targets
AT1G30630,GTL1_targets
AT1G30650,GTL1_targets
AT1G30660,GTL1_targets
AT1G30690,GTL1_targets
AT1G30700,GTL1_targets
AT1G30710,GTL1_targets
